Date,Open,High,Low,Close,Adj Close,Volume
04-05-2018,178.25,184.25,178.169998,183.830002,182.483856,56201300
07-05-2018,185.179993,187.669998,184.75,185.160004,183.804123,42451400
08-05-2018,184.990005,186.220001,183.669998,186.050003,184.687607,28402800
09-05-2018,186.550003,187.399994,185.220001,187.360001,185.988022,23211200
10-05-2018,187.740005,190.369995,187.649994,190.039993,188.648392,27989300
11-05-2018,189.490005,190.059998,187.449997,188.589996,187.930908,26212200
14-05-2018,189.009995,189.529999,187.860001,188.149994,187.492432,20778800
15-05-2018,186.779999,187.070007,185.100006,186.440002,185.788422,23695200
16-05-2018,186.070007,188.460007,186,188.179993,187.522324,19183100
17-05-2018,188,188.910004,186.360001,186.990005,186.336502,17294000
18-05-2018,187.190002,187.809998,186.130005,186.309998,185.658875,18297700
21-05-2018,188,189.270004,186.910004,187.630005,186.974258,18400800
22-05-2018,188.380005,188.880005,186.779999,187.160004,186.505905,15240700
23-05-2018,186.350006,188.5,185.759995,188.360001,187.701706,19467900
24-05-2018,188.770004,188.839996,186.210007,188.149994,187.492432,20401000
25-05-2018,188.229996,189.649994,187.649994,188.580002,187.920944,17461000
29-05-2018,187.600006,188.75,186.869995,187.899994,187.243317,22369000
30-05-2018,187.720001,188,186.779999,187.5,186.844711,18690500
31-05-2018,187.220001,188.229996,186.139999,186.869995,186.216904,27482800
01-06-2018,187.990005,190.259995,187.75,190.240005,189.57515,23250400
04-06-2018,191.639999,193.419998,191.350006,191.830002,191.159576,26132000
05-06-2018,193.070007,193.940002,192.360001,193.309998,192.634399,21566000
06-06-2018,193.630005,194.080002,191.919998,193.979996,193.302063,20933600
07-06-2018,194.139999,194.199997,192.339996,193.460007,192.78389,21347200
08-06-2018,191.169998,192,189.770004,191.699997,191.030029,26656800
11-06-2018,191.350006,191.970001,190.210007,191.229996,190.561676,18308500
12-06-2018,191.389999,192.610001,191.149994,192.279999,191.608002,16911100
13-06-2018,192.419998,192.880005,190.440002,190.699997,190.033524,21638400
14-06-2018,191.550003,191.570007,190.220001,190.800003,190.133179,21610100
15-06-2018,190.029999,190.160004,188.259995,188.839996,188.180023,61719200
18-06-2018,187.880005,189.220001,187.199997,188.740005,188.080383,18484900
19-06-2018,185.139999,186.330002,183.449997,185.690002,185.041046,33578500
20-06-2018,186.350006,187.199997,185.729996,186.5,185.848206,20628700
21-06-2018,187.25,188.350006,184.940002,185.460007,184.811844,25711900
22-06-2018,186.119995,186.149994,184.699997,184.919998,184.273727,27200400
25-06-2018,183.399994,184.919998,180.729996,182.169998,181.53334,31663100
26-06-2018,182.990005,186.529999,182.539993,184.429993,183.785431,24569200
27-06-2018,185.229996,187.279999,184.029999,184.160004,183.516388,25285300
28-06-2018,184.100006,186.210007,183.800003,185.5,184.8517,17365200
29-06-2018,186.289993,187.190002,182.910004,185.110001,184.463074,22737700
02-07-2018,183.820007,187.300003,183.419998,187.179993,186.525818,17731300
03-07-2018,187.789993,187.949997,183.539993,183.919998,183.277222,13954800
05-07-2018,185.259995,186.410004,184.279999,185.399994,184.752045,16604200
06-07-2018,185.419998,188.429993,185.199997,187.970001,187.31308,17485200
09-07-2018,189.5,190.679993,189.300003,190.580002,189.913956,19756600
10-07-2018,190.710007,191.279999,190.179993,190.350006,189.684753,15939100
11-07-2018,188.5,189.779999,187.610001,187.880005,187.223389,18831500
12-07-2018,189.529999,191.410004,189.309998,191.029999,190.362381,18041100
13-07-2018,191.080002,191.839996,190.899994,191.330002,190.661331,12513900
16-07-2018,191.520004,192.649994,190.419998,190.910004,190.242798,15043100
17-07-2018,189.75,191.869995,189.199997,191.449997,190.780899,15534500
18-07-2018,191.779999,191.800003,189.929993,190.399994,189.734573,16393400
19-07-2018,189.690002,192.550003,189.690002,191.880005,191.209412,20286800
20-07-2018,191.779999,192.429993,190.169998,191.440002,190.77095,20676200
23-07-2018,190.679993,191.960007,189.559998,191.610001,190.940353,15989400
24-07-2018,192.449997,193.660004,192.050003,193,192.325485,18697900
25-07-2018,193.059998,194.850006,192.429993,194.820007,194.139145,16709900
26-07-2018,194.610001,195.960007,193.610001,194.210007,193.531265,19076000
27-07-2018,194.990005,195.190002,190.100006,190.979996,190.312546,24024000
30-07-2018,191.899994,192.199997,189.070007,189.910004,189.246292,21029500
31-07-2018,190.300003,192.139999,189.339996,190.289993,189.624954,39373000
01-08-2018,199.130005,201.759995,197.309998,201.5,200.795792,67935700
02-08-2018,200.580002,208.380005,200.350006,207.389999,206.665207,62404000
03-08-2018,207.029999,208.740005,205.479996,207.990005,207.263107,33447400
06-08-2018,208,209.25,207.070007,209.070007,208.33934,25425400
07-08-2018,209.320007,209.5,206.759995,207.110001,206.386185,25587400
08-08-2018,206.050003,207.809998,204.520004,207.25,206.525696,22525500
09-08-2018,207.279999,209.779999,207.199997,208.880005,208.149994,23469200
10-08-2018,207.360001,209.100006,206.669998,207.529999,207.529999,24611200
13-08-2018,207.699997,210.949997,207.699997,208.869995,208.869995,25869100
14-08-2018,210.160004,210.559998,208.259995,209.75,209.75,20748000
15-08-2018,209.220001,210.740005,208.330002,210.240005,210.240005,28807600
16-08-2018,211.75,213.809998,211.470001,213.320007,213.320007,28500400
